Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,adm,ACADEMY OF THE REDWOODS,White,6
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,app,ACADEMY OF THE REDWOODS,White,8
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,enr,ACADEMY OF THE REDWOODS,All,7
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,adm,ACADEMY OF THE REDWOODS,All,13
ACADEMY OF THE REDWOODS54135,Eureka,Humboldt,app,ACADEMY OF THE REDWOODS,All,17
ACADEMY SCIENCE & ENGINEERING54626,Los Angeles,Los Angeles,enr,ACADEMY SCIENCE & ENGINEERING,Hispanic/ Latino,3
ACADEMY SCIENCE & ENGINEERING54626,Los Angeles,Los Angeles,adm,ACADEMY SCIENCE & ENGINEERING,Hispanic/ Latino,7
ACADEMY SCIENCE & ENGINEERING54626,Los Angeles,Los Angeles,app,ACADEMY SCIENCE & ENGINEERING,Hispanic/ Latino,16
ACADEMY SCIENCE & ENGINEERING54626,Los Angeles,Los Angeles,enr,ACADEMY SCIENCE & ENGINEERING,All,3
ACADEMY SCIENCE & ENGINEERING54626,Los Angeles,Los Angeles,adm,ACADEMY SCIENCE & ENGINEERING,All,8
ACADEMY SCIENCE & ENGINEERING54626,Los Angeles,Los Angeles,app,ACADEMY SCIENCE & ENGINEERING,All,19
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,San Francisco,enr,ACADEMY-SAN FRAN @ MCATEER,Asian,4
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,San Francisco,adm,ACADEMY-SAN FRAN @ MCATEER,Asian,4
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,San Francisco,app,ACADEMY-SAN FRAN @ MCATEER,Asian,11
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,San Francisco,enr,ACADEMY-SAN FRAN @ MCATEER,Hispanic/ Latino,
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,San Francisco,adm,ACADEMY-SAN FRAN @ MCATEER,Hispanic/ Latino,4
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,San Francisco,app,ACADEMY-SAN FRAN @ MCATEER,Hispanic/ Latino,6
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,San Francisco,enr,ACADEMY-SAN FRAN @ MCATEER,All,5
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,San Francisco,adm,ACADEMY-SAN FRAN @ MCATEER,All,8
ACADEMY-SAN FRAN @ MCATEER54439,San Francisco,San Francisco,app,ACADEMY-SAN FRAN @ MCATEER,All,19
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,enr,ACALANES HIGH SCHOOL,White,16
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,adm,ACALANES HIGH SCHOOL,White,44
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,app,ACALANES HIGH SCHOOL,White,77
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,enr,ACALANES HIGH SCHOOL,Asian,13
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,adm,ACALANES HIGH SCHOOL,Asian,30
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,app,ACALANES HIGH SCHOOL,Asian,35
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,enr,ACALANES HIGH SCHOOL,Hispanic/ Latino,6
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,adm,ACALANES HIGH SCHOOL,Hispanic/ Latino,11
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,app,ACALANES HIGH SCHOOL,Hispanic/ Latino,17
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,enr,ACALANES HIGH SCHOOL,All,38
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,adm,ACALANES HIGH SCHOOL,All,90
ACALANES HIGH SCHOOL51315,Lafayette,Contra Costa,app,ACALANES HIGH SCHOOL,All,137
ACE CHARTER HIGH SCHOOL54660,San Jose,Santa Clara,enr,ACE CHARTER HIGH SCHOOL,Hispanic/ Latino,3
ACE CHARTER HIGH SCHOOL54660,San Jose,Santa Clara,adm,ACE CHARTER HIGH SCHOOL,Hispanic/ Latino,3
ACE CHARTER HIGH SCHOOL54660,San Jose,Santa Clara,app,ACE CHARTER HIGH SCHOOL,Hispanic/ Latino,5
ACE CHARTER HIGH SCHOOL54660,San Jose,Santa Clara,enr,ACE CHARTER HIGH SCHOOL,All,4
ACE CHARTER HIGH SCHOOL54660,San Jose,Santa Clara,adm,ACE CHARTER HIGH SCHOOL,All,4
ACE CHARTER HIGH SCHOOL54660,San Jose,Santa Clara,app,ACE CHARTER HIGH SCHOOL,All,6
ADELANTO HIGH SCHOOL54672,Adelanto,San Bernardino,enr,ADELANTO HIGH SCHOOL,Asian,
ADELANTO HIGH SCHOOL54672,Adelanto,San Bernardino,adm,ADELANTO HIGH SCHOOL,Asian,4
ADELANTO HIGH SCHOOL54672,Adelanto,San Bernardino,app,ADELANTO HIGH SCHOOL,Asian,5
ADELANTO HIGH SCHOOL54672,Adelanto,San Bernardino,enr,ADELANTO HIGH SCHOOL,Hispanic/ Latino,7
ADELANTO HIGH SCHOOL54672,Adelanto,San Bernardino,adm,ADELANTO HIGH SCHOOL,Hispanic/ Latino,20
ADELANTO HIGH SCHOOL54672,Adelanto,San Bernardino,app,ADELANTO HIGH SCHOOL,Hispanic/ Latino,32
ADELANTO HIGH SCHOOL54672,Adelanto,San Bernardino,enr,ADELANTO HIGH SCHOOL,African American,
ADELANTO HIGH SCHOOL54672,Adelanto,San Bernardino,adm,ADELANTO HIGH SCHOOL,African American,
ADELANTO HIGH SCHOOL54672,Adelanto,San Bernardino,app,ADELANTO HIGH SCHOOL,African American,6
ADELANTO HIGH SCHOOL54672,Adelanto,San Bernardino,enr,ADELANTO HIGH SCHOOL,All,10
ADELANTO HIGH SCHOOL54672,Adelanto,San Bernardino,adm,ADELANTO HIGH SCHOOL,All,27
ADELANTO HIGH SCHOOL54672,Adelanto,San Bernardino,app,ADELANTO HIGH SCHOOL,All,46
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,enr,ADOLFO CAMARILLO HIGH SCHOOL,White,17
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,adm,ADOLFO CAMARILLO HIGH SCHOOL,White,36
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,app,ADOLFO CAMARILLO HIGH SCHOOL,White,62
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,enr,ADOLFO CAMARILLO HIGH SCHOOL,Asian,25
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,adm,ADOLFO CAMARILLO HIGH SCHOOL,Asian,42
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,app,ADOLFO CAMARILLO HIGH SCHOOL,Asian,55
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,enr,ADOLFO CAMARILLO HIGH SCHOOL,Hispanic/ Latino,8
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,adm,ADOLFO CAMARILLO HIGH SCHOOL,Hispanic/ Latino,21
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,app,ADOLFO CAMARILLO HIGH SCHOOL,Hispanic/ Latino,35
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,enr,ADOLFO CAMARILLO HIGH SCHOOL,All,52
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,adm,ADOLFO CAMARILLO HIGH SCHOOL,All,103
ADOLFO CAMARILLO HIGH SCHOOL50438,Camarillo,Ventura,app,ADOLFO CAMARILLO HIGH SCHOOL,All,159
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,enr,ADRIAN C WILCOX HIGH SCHOOL,White,9
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,adm,ADRIAN C WILCOX HIGH SCHOOL,White,16
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,app,ADRIAN C WILCOX HIGH SCHOOL,White,21
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,enr,ADRIAN C WILCOX HIGH SCHOOL,Asian,51
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,adm,ADRIAN C WILCOX HIGH SCHOOL,Asian,79
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,app,ADRIAN C WILCOX HIGH SCHOOL,Asian,107
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,enr,ADRIAN C WILCOX HIGH SCHOOL,Hispanic/ Latino,4
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,adm,ADRIAN C WILCOX HIGH SCHOOL,Hispanic/ Latino,9
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,app,ADRIAN C WILCOX HIGH SCHOOL,Hispanic/ Latino,16
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,enr,ADRIAN C WILCOX HIGH SCHOOL,African American,
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,adm,ADRIAN C WILCOX HIGH SCHOOL,African American,4
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,app,ADRIAN C WILCOX HIGH SCHOOL,African American,6
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,enr,ADRIAN C WILCOX HIGH SCHOOL,All,68
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,adm,ADRIAN C WILCOX HIGH SCHOOL,All,112
ADRIAN C WILCOX HIGH SCHOOL53276,Santa Clara,Santa Clara,app,ADRIAN C WILCOX HIGH SCHOOL,All,155
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,enr,AGOURA HIGH SCHOOL,White,35
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,adm,AGOURA HIGH SCHOOL,White,75
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,app,AGOURA HIGH SCHOOL,White,117
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,enr,AGOURA HIGH SCHOOL,Asian,19
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,adm,AGOURA HIGH SCHOOL,Asian,22
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,app,AGOURA HIGH SCHOOL,Asian,31
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,enr,AGOURA HIGH SCHOOL,Hispanic/ Latino,6
