geoid,name,B19013001,"B19013001, Error"
16000US0623168,"Fairfax, CA",99438,15495
16000US0623182,"Fairfield, CA",69396,2789
16000US0623210,"Fairmead, CA",31773,5242
16000US0623294,"Fair Oaks, CA",73718,3593
16000US0623350,"Fairview, CA",91071,13318
16000US0623462,"Fallbrook, CA",53106,3254
16000US0623532,"Fall River Mills, CA",0,0
16000US0623616,"Farmersville, CA",33689,3528
16000US0623630,"Farmington, CA",0,0
16000US0623812,"Fellows, CA",75417,51722
16000US0623826,"Felton, CA",95260,19016
16000US0623910,"Ferndale, CA",41042,7555
16000US0623973,"Fetters Hot Springs-Agua Caliente, CA",53107,14020
16000US0623980,"Fiddletown, CA",61827,39238
16000US0624008,"Fieldbrook, CA",61500,7195
16000US0624022,"Fields Landing, CA",0,0
16000US0624092,"Fillmore, CA",55512,7769
16000US0624134,"Firebaugh, CA",36181,10731
16000US0624218,"Fish Camp, CA",0,0
16000US0624477,"Florence-Graham, CA",34738,1553
16000US0624498,"Florin, CA",39231,1699
16000US0624526,"Floriston, CA",34297,24145
16000US0624568,"Flournoy, CA",39063,30369
16000US0624638,"Folsom, CA",102692,2756
16000US0624680,"Fontana, CA",65995,1656
16000US0624722,"Foothill Farms, CA",44871,3512
16000US0624750,"Forbestown, CA",0,0
16000US0624764,"Ford City, CA",32441,6292
16000US0624834,"Foresthill, CA",0,0
16000US0624897,"Forest Meadows, CA",62857,18733
16000US0624918,"Forest Ranch, CA",0,0
16000US0624960,"Forestville, CA",54803,8056
16000US0625030,"Fort Bidwell, CA",22262,2182
16000US0625058,"Fort Bragg, CA",37250,4939
16000US0625114,"Fort Irwin, CA",49279,5113
16000US0625128,"Fort Jones, CA",36339,12800
16000US0625296,"Fortuna, CA",44904,2169
16000US0625300,"Fort Washington, CA",0,0
16000US0625338,"Foster City, CA",129733,5312
16000US0625380,"Fountain Valley, CA",84763,4947
16000US0625436,"Fowler, CA",47572,8419
16000US0625488,"Franklin, CA",43741,5478
16000US0625506,"Franklin, CA",24323,6946
16000US0625534,"Frazier Park, CA",31171,5921
16000US0625576,"Freedom, CA",46650,12739
16000US0625590,"Freeport, CA",30966,2384
16000US0626000,"Fremont, CA",111613,2888
16000US0626028,"French Camp, CA",32383,7331
16000US0626056,"French Gulch, CA",32344,6701
16000US0626067,"French Valley, CA",96754,8270
16000US0627000,"Fresno, CA",41842,684
16000US0627014,"Friant, CA",0,0
16000US0627080,"Fruitdale, CA",77969,25699
16000US0627130,"Fruitridge Pocket, CA",24938,6159
16000US0627190,"Fuller Acres, CA",32763,3692
16000US0628000,"Fullerton, CA",67110,2129
16000US0628014,"Fulton, CA",0,0
16000US0628021,"Furnace Creek, CA",29279,4771
16000US0628112,"Galt, CA",63681,4046
16000US0628154,"Garberville, CA",28750,4649
16000US0628168,"Gardena, CA",50137,2538
16000US0628182,"Garden Acres, CA",40196,4442
16000US0628210,"Garden Farms, CA",0,0
16000US0629000,"Garden Grove, CA",60522,1288
16000US0629070,"Garey, CA",0,0
16000US0629112,"Garnet, CA",37227,2515
16000US0629154,"Gasquet, CA",33250,25024
16000US0629252,"Gazelle, CA",31389,7425
16000US0629350,"Georgetown, CA",42946,14092
16000US0629392,"Gerber, CA",31522,26501
16000US0629420,"Geyserville, CA",56250,8529
16000US0629504,"Gilroy, CA",84351,4918
16000US0630000,"Glendale, CA",56069,2286
16000US0630014,"Glendora, CA",78448,3997
16000US0630028,"Glen Ellen, CA",64301,39621
16000US0630282,"Golden Hills, CA",61361,6082
16000US0630339,"Gold Mountain, CA",0,0
16000US0630345,"Gold River, CA",108448,7281
16000US0630378,"Goleta, CA",81398,4285
16000US0630392,"Gonzales, CA",52940,6329
16000US0630410,"Good Hope, CA",41738,8324
16000US0630420,"Goodyears Bar, CA",0,0
16000US0630476,"Goshen, CA",39360,5121
16000US0630560,"Graeagle, CA",62232,20578
16000US0630658,"Grand Terrace, CA",64188,2850
16000US0630686,"Grangeville, CA",88571,68397
16000US0630693,"Granite Bay, CA",119701,7054
16000US0630703,"Granite Hills, CA",116146,20089
16000US0630714,"Graniteville, CA",0,0
16000US0630798,"Grass Valley, CA",35524,4064
