Calculation1,City,County/State/ Territory,Measure Names,School,Uad Uc Ethn 6 Cat,Measure Values
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,app,AGOURA HIGH SCHOOL,Asian,26
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,enr,AGOURA HIGH SCHOOL,Hispanic/ Latino,
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,adm,AGOURA HIGH SCHOOL,Hispanic/ Latino,
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,app,AGOURA HIGH SCHOOL,Hispanic/ Latino,11
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,enr,AGOURA HIGH SCHOOL,All,11
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,adm,AGOURA HIGH SCHOOL,All,17
AGOURA HIGH SCHOOL50003,Agoura Hills,Los Angeles,app,AGOURA HIGH SCHOOL,All,101
ALAIN LEROY LOCKE COLLEGE PREP54367,Los Angeles,Los Angeles,enr,ALAIN LEROY LOCKE COLLEGE PREP,Hispanic/ Latino,
ALAIN LEROY LOCKE COLLEGE PREP54367,Los Angeles,Los Angeles,adm,ALAIN LEROY LOCKE COLLEGE PREP,Hispanic/ Latino,
ALAIN LEROY LOCKE COLLEGE PREP54367,Los Angeles,Los Angeles,app,ALAIN LEROY LOCKE COLLEGE PREP,Hispanic/ Latino,12
ALAIN LEROY LOCKE COLLEGE PREP54367,Los Angeles,Los Angeles,enr,ALAIN LEROY LOCKE COLLEGE PREP,All,
ALAIN LEROY LOCKE COLLEGE PREP54367,Los Angeles,Los Angeles,adm,ALAIN LEROY LOCKE COLLEGE PREP,All,
ALAIN LEROY LOCKE COLLEGE PREP54367,Los Angeles,Los Angeles,app,ALAIN LEROY LOCKE COLLEGE PREP,All,15
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,enr,ALAMEDA COMMUNITY LEARNING CTR,White,4
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,adm,ALAMEDA COMMUNITY LEARNING CTR,White,4
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,app,ALAMEDA COMMUNITY LEARNING CTR,White,7
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,enr,ALAMEDA COMMUNITY LEARNING CTR,Asian,
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,adm,ALAMEDA COMMUNITY LEARNING CTR,Asian,
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,app,ALAMEDA COMMUNITY LEARNING CTR,Asian,5
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,enr,ALAMEDA COMMUNITY LEARNING CTR,All,5
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,adm,ALAMEDA COMMUNITY LEARNING CTR,All,7
ALAMEDA COMMUNITY LEARNING CTR50011,Alameda,Alameda,app,ALAMEDA COMMUNITY LEARNING CTR,All,19
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,White,3
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,adm,ALAMEDA HIGH SCHOOL,White,9
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,app,ALAMEDA HIGH SCHOOL,White,28
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,Asian,8
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,adm,ALAMEDA HIGH SCHOOL,Asian,15
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,app,ALAMEDA HIGH SCHOOL,Asian,77
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,Hispanic/ Latino,
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,adm,ALAMEDA HIGH SCHOOL,Hispanic/ Latino,
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,app,ALAMEDA HIGH SCHOOL,Hispanic/ Latino,5
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,African American,
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,adm,ALAMEDA HIGH SCHOOL,African American,
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,app,ALAMEDA HIGH SCHOOL,African American,9
ALAMEDA HIGH SCHOOL50005,Alameda,Alameda,enr,ALAMEDA HIGH SCHOOL,All,13
